0.04307034s, 0.00838624s, 0.00048998s, 0.03419412s, 270.71MB
0.04566133s, 0.00829809s, 0.00043537s, 0.03692786s, 271.50MB
0.04080825s, 0.00428719s, 0.00012215s, 0.03639891s, 273.56MB
0.04483048s, 0.00774303s, 0.00026565s, 0.03682181s, 272.66MB
0.03135019s, 0.00333542s, 0.00014301s, 0.02787177s, 274.14MB
0.03191035s, 0.00333427s, 0.00013795s, 0.02843813s, 273.02MB
0.04140776s, 0.00841108s, 0.00033687s, 0.03265981s, 274.84MB
0.03896275s, 0.00791184s, 0.00030950s, 0.03074141s, 274.84MB
0.04191207s, 0.00799272s, 0.00029225s, 0.03362710s, 273.55MB
0.03965723s, 0.00861415s, 0.00035006s, 0.03069302s, 275.36MB
0.03347209s, 0.00830639s, 0.00031721s, 0.02484850s, 275.36MB
0.03642071s, 0.00806464s, 0.00027928s, 0.02807679s, 276.36MB
0.03636472s, 0.00783004s, 0.00027609s, 0.02825859s, 276.36MB
0.04070545s, 0.00875259s, 0.00030294s, 0.03164992s, 277.39MB
0.03542622s, 0.00888914s, 0.00020961s, 0.02632747s, 277.39MB
0.03545227s, 0.00898967s, 0.00013995s, 0.02632265s, 277.39MB
0.03466022s, 0.00837967s, 0.00038246s, 0.02589809s, 277.39MB
0.03794213s, 0.00868492s, 0.00014159s, 0.02911561s, 277.39MB
0.03772062s, 0.00793973s, 0.00031330s, 0.02946758s, 277.39MB
0.03610787s, 0.00324331s, 0.00012933s, 0.03273522s, 277.39MB
0.04050160s, 0.00839118s, 0.00035250s, 0.03175792s, 277.39MB
0.03837595s, 0.00849820s, 0.00031930s, 0.02955845s, 277.39MB
0.03763518s, 0.00846823s, 0.00029369s, 0.02887326s, 277.39MB
